,id_cryptopunk,bids,for_sale,attribute
281,126,0,0,Cigarette
282,126,0,0,Earring
283,126,0,0,Headband
284,126,0,0,Eye Patch
285,127,0,0,Clown Eyes Green
286,127,0,0,Stringy Hair
287,128,1,0,Mole
288,128,1,0,Police Cap
289,128,1,0,Vape
290,128,1,0,Chinstrap
291,129,0,0,Gold Chain
292,129,0,0,Cap Forward
293,129,0,0,Horned Rim Glasses
294,129,0,0,Cigarette
295,130,0,0,Mohawk
296,131,0,0,Hot Lipstick
297,131,0,0,Straight Hair Dark
298,132,0,0,Mohawk Thin
299,133,0,0,Pipe
300,133,0,0,Purple Hair
301,133,0,0,Chinstrap
302,134,0,0,Police Cap
303,135,0,0,Cap Forward
304,136,0,0,Shaved Head
305,136,0,0,Clown Eyes Green
306,136,0,0,Shadow Beard
307,137,0,0,Messy Hair
308,138,0,0,Stringy Hair
309,138,0,0,Horned Rim Glasses
310,139,0,0,Do-rag
311,139,0,0,Eye Patch
312,140,0,0,Hot Lipstick
313,141,0,0,Headband
314,141,0,0,Chinstrap
315,141,0,0,3D Glasses
316,142,0,0,Mohawk
317,142,0,0,Regular Shades
318,143,0,0,Horned Rim Glasses
319,143,0,0,Beanie
320,144,0,0,Luxurious Beard
321,144,0,0,Frumpy Hair
322,144,0,0,Cigarette
323,145,0,0,Wild Hair
324,146,0,0,Mohawk
325,146,0,0,Earring
326,147,0,0,Mohawk Thin
327,147,0,0,Regular Shades
328,148,0,0,Hoodie
329,149,0,0,Luxurious Beard
330,149,0,0,Messy Hair
331,149,0,0,Big Shades
332,150,0,0,Purple Lipstick
333,150,0,0,Earring
334,151,0,0,VR
335,151,0,0,Stringy Hair
336,152,0,0,Clown Eyes Green
337,152,0,0,Mohawk Dark
338,153,0,0,Cap
339,153,0,0,Eye Mask
340,153,0,0,Earring
341,154,0,0,Earring
342,154,0,0,Shadow Beard
343,154,0,0,Hoodie
344,155,0,1,Clown Hair Green
345,155,0,1,Clown Nose
346,156,1,0,Cap Forward
347,156,1,0,Small Shades
348,157,0,0,Cap
349,157,0,0,Cigarette
350,158,0,0,Wild Hair
351,158,0,0,Regular Shades
352,158,0,0,Goat
353,159,0,0,Earring
354,159,0,0,Stringy Hair
355,160,0,0,Clown Eyes Blue
356,160,0,0,Pigtails
357,160,0,0,Purple Lipstick
358,161,0,0,Hot Lipstick
359,161,0,0,Frumpy Hair
360,162,0,0,Frumpy Hair
361,162,0,0,Horned Rim Glasses
362,162,0,0,Normal Beard Black
363,163,0,0,Shaved Head
364,163,0,0,Eye Patch
365,164,0,0,VR
366,164,0,0,Stringy Hair
367,165,1,0,Mohawk Dark
368,165,1,0,Front Beard Dark
369,165,1,0,Cigarette
370,166,0,0,Regular Shades
371,166,0,0,Shaved Head
372,167,0,0,Hot Lipstick
373,167,0,0,Headband
374,168,0,0,Blonde Bob
375,168,0,0,Silver Chain
376,168,0,0,Blue Eye Shadow
377,169,0,0,Wild White Hair
378,169,0,0,Regular Shades
379,169,0,0,Hot Lipstick
380,170,0,0,Mole
381,170,0,0,Peak Spike
382,170,0,0,Classic Shades
383,171,0,0,Stringy Hair
384,171,0,0,Mole
385,171,0,0,Earring
386,172,0,0,Purple Lipstick
387,172,0,0,Blonde Bob
388,172,0,0,3D Glasses
389,173,0,0,Mole
390,173,0,0,Hot Lipstick
391,173,0,0,Pipe
392,173,0,0,Clown Eyes Blue
393,173,0,0,Messy Hair
394,174,0,0,Wild Hair
395,174,0,0,Horned Rim Glasses
396,174,0,0,Earring
397,175,0,0,Big Shades
398,175,0,0,Cap
399,176,0,0,Wild Hair
400,176,0,0,Regular Shades
401,176,0,0,Purple Lipstick
402,176,0,0,Earring
403,177,0,0,Luxurious Beard
404,177,0,0,Bandana
405,178,0,0,Fedora
406,179,0,0,Mohawk Thin
407,179,0,0,Classic Shades
408,179,0,0,Shadow Beard
409,180,0,0,Hot Lipstick
410,180,0,0,Pilot Helmet
411,181,0,0,Mohawk
412,182,0,0,Peak Spike
413,183,0,0,Shadow Beard
414,184,0,0,Blonde Bob
415,184,0,0,Green Eye Shadow
416,185,0,0,Wild White Hair
417,185,0,0,Hot Lipstick
418,186,0,0,Crazy Hair
419,186,0,0,Mustache
420,187,1,0,Straight Hair
421,188,0,0,Nerd Glasses
422,188,0,0,Earring
423,188,0,0,Peak Spike
424,189,0,0,Mohawk Thin
425,189,0,0,Purple Lipstick
426,190,0,0,Headband
427,191,0,0,Mohawk
428,192,0,0,Mohawk Thin
429,192,0,0,Clown Nose
430,192,0,0,Nerd Glasses
431,192,0,0,Earring
432,193,0,0,Earring
433,193,0,0,Tassle Hat
434,193,0,0,Green Eye Shadow
435,194,0,0,Clown Eyes Green
436,194,0,0,Wild Hair
437,195,0,0,Straight Hair Blonde
438,195,0,0,Nerd Glasses
439,196,0,0,Big Shades
440,196,0,0,Hot Lipstick
441,196,0,0,Tassle Hat
442,197,0,0,Frumpy Hair
443,197,0,0,Eye Patch
444,198,0,0,Beanie
445,198,0,0,Luxurious Beard
446,199,0,0,Blonde Short
447,199,0,0,Classic Shades
448,200,0,0,Wild Hair
449,201,0,0,Dark Hair
450,201,0,0,Blue Eye Shadow
451,201,0,0,Hot Lipstick
452,201,0,0,Cigarette
453,202,0,0,Purple Lipstick
454,202,0,0,Earring
455,202,0,0,Headband
456,203,0,0,Messy Hair
457,203,0,0,Regular Shades
458,203,0,0,Front Beard
459,204,0,0,Crazy Hair
460,204,0,0,Regular Shades
461,205,0,0,Mohawk Dark
462,205,0,0,Big Shades
463,205,0,0,Normal Beard Black
464,206,0,0,Clown Nose
465,206,0,0,Cap Forward
466,206,0,0,Cigarette
467,207,0,0,Peak Spike
468,207,0,0,Pipe
469,207,0,0,Eye Patch
470,208,0,0,Earring
471,208,0,0,3D Glasses
472,208,0,0,Shaved Head
473,209,0,0,Stringy Hair
474,209,0,0,Hot Lipstick
475,210,0,0,Earring
476,210,0,0,Straight Hair Dark
477,211,0,0,Goat
478,211,0,0,Mohawk Thin
479,212,0,0,Crazy Hair
480,212,0,0,Hot Lipstick
481,213,0,0,Crazy Hair
482,214,0,0,Mohawk
483,214,0,0,Front Beard Dark
484,215,0,0,Mohawk
485,216,0,0,Bandana
486,217,0,0,Mohawk Dark
487,217,0,0,Earring
488,217,0,0,Chinstrap
489,218,0,0,Handlebars
490,218,0,0,Cap
491,218,0,0,Regular Shades
492,218,0,0,Mole
493,219,0,0,Earring
494,219,0,0,Rosy Cheeks
495,219,0,0,Clown Eyes Blue
496,219,0,0,Bandana
497,220,0,0,Headband
498,220,0,0,Big Shades
499,221,0,0,Cigarette
500,221,0,0,Muttonchops
501,221,0,0,Stringy Hair
502,221,0,0,Classic Shades
503,222,0,0,Pipe
504,222,0,0,Small Shades
505,222,0,0,Do-rag
506,223,0,0,Normal Beard
507,223,0,0,Nerd Glasses
508,223,0,0,Crazy Hair
509,224,0,0,Headband
510,224,0,0,Nerd Glasses
511,224,0,0,Cigarette
512,224,0,0,Earring
513,225,0,0,Hot Lipstick
514,225,0,0,Earring
515,225,0,0,Orange Side
516,226,1,0,Hot Lipstick
517,227,0,0,Wild White Hair
518,228,0,0,Peak Spike
519,228,0,0,Small Shades
520,229,0,0,Messy Hair
521,229,0,0,Cigarette
522,230,0,0,Knitted Cap
523,230,0,0,Luxurious Beard
524,231,0,0,Earring
525,231,0,0,Pipe
526,231,0,0,Stringy Hair
527,232,0,0,Wild Hair
528,232,0,0,Blue Eye Shadow
529,233,0,0,Bandana
530,233,0,0,Hot Lipstick
531,235,0,0,Cigarette
532,235,0,0,Frumpy Hair
533,236,0,0,Muttonchops
534,236,0,0,Vampire Hair
535,237,0,0,Mohawk
536,237,0,0,Regular Shades
537,238,0,0,Clown Eyes Green
538,238,0,0,Straight Hair Dark
539,239,0,0,Frown
540,239,0,0,Goat
541,239,0,0,Mohawk
542,240,0,0,Straight Hair Blonde
543,240,0,0,Big Shades
544,241,0,0,Wild Blonde
545,242,0,0,Stringy Hair
546,242,0,0,Black Lipstick
547,243,0,0,Cigarette
548,243,0,0,Earring
549,243,0,0,Police Cap
550,243,0,0,Front Beard
551,244,0,0,Purple Lipstick
552,244,0,0,Wild Hair
553,244,0,0,Regular Shades
554,245,0,0,Dark Hair
555,246,0,0,Luxurious Beard
556,246,0,0,Bandana
557,246,0,0,Earring
558,247,0,0,Green Eye Shadow
559,247,0,0,Mohawk Dark
560,248,0,0,Messy Hair
561,248,0,0,Purple Eye Shadow
562,249,0,0,Orange Side
563,250,0,0,Earring
564,250,0,0,Clown Eyes Green
565,250,0,0,Frumpy Hair
566,251,0,0,Mohawk Dark
567,251,0,0,Green Eye Shadow
568,252,0,0,Cap Forward
569,252,0,0,Mole
570,253,0,0,Clown Eyes Green
571,253,0,0,Blonde Short
572,254,0,0,Fedora
573,255,1,0,Mustache
574,255,1,0,Shaved Head
575,256,1,0,Fedora
576,256,1,0,Vape
577,256,1,0,Earring
578,256,1,0,Eye Patch
579,258,0,0,Cap Forward
580,258,0,0,Handlebars
581,259,0,0,Cap Forward
582,259,0,0,Eye Mask
583,259,0,0,Earring
584,260,0,1,Purple Hair
585,260,0,1,3D Glasses
586,261,0,0,Wild White Hair
587,261,0,0,Black Lipstick
588,262,0,0,Regular Shades
589,262,0,0,Blonde Short
590,263,0,0,Muttonchops
591,263,0,0,Messy Hair
592,264,0,0,Earring
593,264,0,0,Wild White Hair
594,265,0,0,Gold Chain
595,265,0,0,Cap Forward
596,265,0,0,Earring
597,266,0,0,Earring
598,266,0,0,Small Shades
599,266,0,0,Do-rag
600,267,0,0,Fedora
601,267,0,0,Clown Nose
602,268,0,0,Knitted Cap
603,269,0,0,Small Shades
604,269,0,0,Earring
605,269,0,0,Hoodie
606,269,0,0,Luxurious Beard
607,270,0,0,Red Mohawk
608,270,0,0,Clown Eyes Blue
609,271,0,0,Stringy Hair
610,272,0,0,Messy Hair
611,272,0,0,Buck Teeth
612,273,0,0,Cap Forward
613,273,0,0,Big Shades
614,274,0,0,Earring
615,274,0,0,Cap
616,274,0,0,Regular Shades
617,274,0,0,Handlebars
618,275,0,0,Purple Eye Shadow
619,275,0,0,Purple Lipstick
620,275,0,0,Stringy Hair
621,276,0,0,Crazy Hair
622,277,0,0,Red Mohawk
623,278,0,0,Straight Hair Dark
624,278,0,0,Black Lipstick
625,279,1,0,Purple Lipstick
626,279,1,0,Straight Hair Blonde
627,279,1,0,Blue Eye Shadow
628,280,0,0,Earring
629,282,0,0,Classic Shades
630,282,0,0,Straight Hair Dark
631,283,0,0,Hot Lipstick
632,283,0,0,Frumpy Hair
633,284,0,0,Mohawk Thin
634,285,0,0,Dark Hair
635,285,0,0,Purple Lipstick
636,286,0,1,Wild Hair
637,286,0,1,Goat
638,287,0,0,Purple Eye Shadow
639,287,0,0,Cigarette
640,287,0,0,Mohawk
641,288,0,0,Shaved Head
642,289,0,0,Mohawk Thin
643,289,0,0,Eye Patch
644,290,0,0,Wild Blonde
645,291,0,0,Mohawk Thin
646,291,0,0,Earring
647,292,0,0,Black Lipstick
648,292,0,0,Tassle Hat
649,293,0,0,Handlebars
650,293,0,0,Mohawk Dark
651,294,0,0,Big Shades
652,294,0,0,Earring
653,294,0,0,Hoodie
654,295,0,0,Frown
655,295,0,0,Shaved Head
656,296,0,0,Mohawk Thin
657,297,0,0,Muttonchops
658,297,0,0,Crazy Hair
659,298,0,0,Half Shaved
660,299,0,0,Do-rag
661,299,0,0,Muttonchops
662,300,0,1,Headband
663,300,0,1,Goat
664,301,0,0,Red Mohawk
665,301,0,0,Green Eye Shadow
666,301,0,0,Hot Lipstick
667,302,0,0,Purple Lipstick
668,302,0,0,Bandana
669,302,0,0,Blue Eye Shadow
670,303,0,0,Red Mohawk
671,303,0,0,Purple Lipstick
672,304,0,0,Peak Spike
673,304,0,0,Shadow Beard
674,305,0,0,VR
675,305,0,0,Blonde Bob
676,305,0,0,Purple Lipstick
677,306,0,0,Wild Hair
678,306,0,0,Vape
679,307,0,0,Chinstrap
680,307,0,0,Frumpy Hair
681,308,0,0,Messy Hair
682,308,0,0,Horned Rim Glasses
683,308,0,0,Mole
684,309,0,1,Big Shades
685,309,0,1,Shaved Head
686,310,0,0,Vape
687,310,0,0,Bandana
688,310,0,0,Classic Shades
689,310,0,0,Earring
690,311,0,0,Front Beard
691,311,0,0,Frumpy Hair
692,312,0,0,Cap Forward
693,312,0,0,Chinstrap
694,313,0,0,Purple Lipstick
695,313,0,0,Mohawk Dark
696,314,0,0,Police Cap
697,314,0,0,Eye Mask
698,315,0,0,Wild White Hair
699,315,0,0,Black Lipstick
700,315,0,0,Cigarette
701,316,0,0,Bandana
702,317,0,0,Bandana
703,317,0,0,Frown
704,317,0,0,Chinstrap
705,318,0,1,Hot Lipstick
706,318,0,1,Cigarette
707,318,0,1,Bandana
708,319,0,0,Straight Hair Dark
709,319,0,0,Earring
710,320,0,0,Stringy Hair
711,321,0,0,Peak Spike
712,322,0,0,Clown Eyes Green
713,322,0,0,Black Lipstick
714,322,0,0,Pink With Hat
715,323,0,0,Mohawk Dark
716,324,0,0,Blonde Bob
717,324,0,0,Hot Lipstick
718,324,0,0,Earring
719,325,1,1,Small Shades
720,325,1,1,Police Cap
721,325,1,1,Mustache
722,326,0,0,Wild White Hair
723,326,0,0,Hot Lipstick
724,326,0,0,Earring
725,327,0,0,Crazy Hair
726,328,0,0,Bandana
727,328,0,0,Horned Rim Glasses
728,329,0,0,Eye Patch
729,329,0,0,Bandana
730,330,0,0,Clown Eyes Green
731,330,0,0,Knitted Cap
732,331,0,0,Tassle Hat
733,331,0,0,Purple Lipstick
734,331,0,0,Earring
735,332,0,0,Horned Rim Glasses
736,332,0,0,Stringy Hair
737,333,0,0,Purple Lipstick
738,333,0,0,Straight Hair Blonde
739,333,0,0,Purple Eye Shadow
740,334,1,0,Big Beard
741,334,1,0,Wild Hair
742,335,0,1,Clown Hair Green
743,336,0,0,Top Hat
744,336,0,0,Normal Beard
745,336,0,0,Nerd Glasses
746,337,0,0,Frumpy Hair
747,338,0,1,Small Shades
748,338,0,1,Messy Hair
749,339,0,1,Cap
750,339,0,1,Big Shades
751,339,0,1,Black Lipstick
752,339,0,1,Mole
753,339,0,1,Earring
754,340,0,0,Muttonchops
755,340,0,0,Headband
756,340,0,0,Medical Mask
757,340,0,0,3D Glasses
758,341,0,1,Earring
759,341,0,1,Messy Hair
760,342,0,0,Bandana
761,342,0,0,Regular Shades
762,343,0,0,Police Cap
763,343,0,0,Shadow Beard
764,344,0,0,Beanie
765,345,0,0,Tassle Hat
766,345,0,0,Earring
767,346,0,0,Purple Hair
768,347,0,0,Horned Rim Glasses
769,347,0,0,Knitted Cap
770,348,0,0,Messy Hair
771,348,0,0,Rosy Cheeks
772,348,0,0,Nerd Glasses
773,349,0,0,Earring
774,349,0,0,Mohawk Dark
775,349,0,0,Front Beard Dark
776,350,0,0,Stringy Hair
777,351,0,0,Mole
778,351,0,0,Purple Hair
779,351,0,0,Goat
780,352,0,0,Straight Hair
781,352,0,0,Green Eye Shadow
782,353,0,0,Green Eye Shadow
783,353,0,0,Bandana
784,354,1,0,Police Cap
785,354,1,0,Cigarette
786,356,0,0,Stringy Hair
787,357,0,0,Earring
788,357,0,0,Tassle Hat
789,358,0,0,Luxurious Beard
790,358,0,0,Small Shades
791,358,0,0,Mohawk
792,359,0,0,Messy Hair
793,359,0,0,Hot Lipstick
794,360,0,0,Normal Beard Black
795,360,0,0,Bandana
796,361,0,0,Mohawk Dark
797,362,0,0,Peak Spike
798,362,0,0,Shadow Beard
799,362,0,0,Eye Mask
800,363,0,0,Cowboy Hat
801,363,0,0,Nerd Glasses
802,363,0,0,Shadow Beard
803,364,0,0,Hoodie
804,364,0,0,Normal Beard Black
805,365,0,0,Normal Beard
806,365,0,0,Do-rag
807,368,0,0,Frumpy Hair
808,368,0,0,Purple Lipstick
809,369,0,0,Earring
810,369,0,0,Fedora
811,369,0,0,Luxurious Beard
812,370,0,0,Rosy Cheeks
813,370,0,0,Cigarette
814,370,0,0,Peak Spike
815,370,0,0,Small Shades
816,371,0,0,Frumpy Hair
817,372,1,0,Cap Forward
818,373,0,0,Headband
819,373,0,0,Earring
820,374,0,1,Clown Eyes Blue
821,374,0,1,Bandana
822,375,0,0,Wild Hair
823,375,0,0,Green Eye Shadow
824,376,0,0,Half Shaved
825,376,0,0,Nerd Glasses
826,377,0,0,Cigarette
827,377,0,0,Earring
828,377,0,0,Headband
829,377,0,0,Regular Shades
830,377,0,0,Normal Beard
831,378,0,0,Earring
832,378,0,0,Frumpy Hair
833,379,0,0,Mohawk Thin
834,379,0,0,Purple Lipstick
835,379,0,0,Earring
836,380,0,0,Black Lipstick
837,380,0,0,Earring
838,380,0,0,Wild Hair
839,381,0,0,Knitted Cap
840,381,0,0,Purple Lipstick
841,382,0,0,Cigarette
842,382,0,0,Pilot Helmet
843,383,0,0,Straight Hair Blonde
844,383,0,0,Green Eye Shadow
845,384,0,0,Purple Lipstick
846,384,0,0,Bandana
847,384,0,0,Classic Shades
848,385,0,0,Wild Hair
849,385,0,0,Choker
850,386,0,0,Do-rag
851,386,0,0,Earring
852,387,0,1,Pipe
853,387,0,1,Gold Chain
854,387,0,1,Cap Forward
855,388,0,0,Straight Hair Blonde
856,388,0,0,Hot Lipstick
857,388,0,0,Clown Eyes Blue
858,389,1,0,Rosy Cheeks
859,389,1,0,Do-rag
860,390,0,0,Messy Hair
861,391,0,0,Wild Blonde
862,391,0,0,Eye Mask
863,391,0,0,Black Lipstick
864,392,0,0,Shaved Head
865,393,0,0,Cap Forward
866,393,0,0,VR
867,393,0,0,Cigarette
868,394,0,0,Earring
869,394,0,0,Pink With Hat
870,395,0,0,Cap Forward
871,395,0,0,Normal Beard
872,395,0,0,Earring
873,396,0,0,Straight Hair Blonde
874,397,0,0,Cowboy Hat
875,398,0,0,Bandana
876,399,0,1,Small Shades
877,399,0,1,Purple Hair
878,400,1,0,Blonde Bob
879,400,1,0,Purple Eye Shadow
880,400,1,0,Purple Lipstick
881,401,0,0,Earring
882,401,0,0,Big Beard
883,401,0,0,Frumpy Hair
884,403,0,0,Classic Shades
885,403,0,0,Clown Hair Green
886,404,0,0,Orange Side
887,404,0,0,Silver Chain
888,404,0,0,Cigarette
889,405,0,0,Messy Hair
890,406,0,0,Hoodie
891,406,0,0,Nerd Glasses
892,407,0,0,Purple Lipstick
893,407,0,0,Earring
894,407,0,0,Wild Blonde
895,408,0,0,Cap Forward
896,409,0,0,Knitted Cap
897,409,0,0,Black Lipstick
898,410,0,0,Headband
899,410,0,0,Eye Patch
900,411,0,0,Clown Eyes Blue
901,411,0,0,Wild Hair
902,411,0,0,Black Lipstick
903,412,0,0,Earring
904,412,0,0,Purple Hair
905,412,0,0,Classic Shades
906,413,0,0,Straight Hair
907,414,1,0,Top Hat
908,414,1,0,Earring
909,414,1,0,Shadow Beard
910,415,0,0,Small Shades
911,415,0,0,Police Cap
912,415,0,0,Frown
913,415,0,0,Mole
914,416,0,0,Cigarette
915,416,0,0,Smile
916,416,0,0,Hoodie
917,417,0,0,Straight Hair Dark
918,418,0,0,Wild White Hair
919,418,0,0,Vape
920,418,0,0,Black Lipstick
921,419,0,0,Earring
922,419,0,0,Bandana
923,420,0,0,Crazy Hair
924,420,0,0,Earring
925,421,0,0,Wild Hair
926,421,0,0,Front Beard
927,422,0,1,Dark Hair
928,422,0,1,Purple Eye Shadow
